source,target,type,subtype,direction,source_text,source_pages,year,assoc_code
28617,28603,唱和,為Y所著書作序,A,,,1276,32
28617,28603,唱和,為Y所著書作序,A,元人傳記資料索引,5176,,32
28617,3257,唱和,為Y所著書作跋,A,宋人傳記資料索引(電子版),3237,0,46
28617,3767,唱和,為Y所著書作跋,A,宋人傳記資料索引(電子版),23552,0,46
28617,7111,唱和,為Y所著書作跋,A,宋人傳記資料索引(電子版),16026,0,46
28617,28603,唱和,為Y作傳,A,元人傳記資料索引,5176,,133
28617,28603,唱和,書、畫由Y作跋,P,元人傳記資料索引,648,,150
28617,28603,唱和,向Y致賀,A,元人傳記資料索引,5176,,390
28617,27853,唱和,挽詩、詞由Y所作,P,元人傳記資料索引,648,,423
28617,28603,唱和,為Y作挽詩、詞,A,元人傳記資料索引,5176,,424
28617,8043,唱和,為Y作畫贊(畫像記),A,,,,428
28617,8043,唱和,為Y作畫贊(畫像記),A,宋人傳記資料索引(電子版),9075,0,428
28617,28603,唱和,為Y作祠記,A,元人傳記資料索引,5176,,560
28691,24554,唱和,祭文由Y所作,P,明人傳記資料索引,2113,0,146
28691,29602,同僚,同僚,M,(道光)徽州府志:十六卷卷首一卷,lgid=1160585,,197
28691,24554,唱和,致書Y,A,懷麓堂後集,卷10,,429
28691,24554,唱和,被致書由Y,P,見素文集,卷23,,430
28691,29602,唱和,被致書由Y,P,篁墩文集,,,430
28691,34532,唱和,被致書由Y,P,楓山章先生文集:九卷,3,,430
28691,34649,唱和,被致書由Y,P,洹詞,,,430
28691,34532,唱和,答Y書,A,懷麓堂後集,卷10,,431
28691,24554,唱和,收到Y的答書,P,見素文集,卷23,,432
28691,29602,唱和,收到Y的答書,P,篁墩文集,,,432
29602,27853,唱和,為Y之書、畫作跋,A,元人傳記資料索引,9374,,149
29602,28691,唱和,致書Y,A,篁墩文集,,,429
29602,28691,唱和,答Y書,A,篁墩文集,,,431
29613,30270,好友,友,M,人名權威資料（中央研究院歷史語言研究所）,18481,,9
29615,439186,好友,友,M,人名權威資料（中央研究院歷史語言研究所）,18476;18476,,9
29653,29876,好友,相識,M,,,,95
29653,33879,唱和,為Y作傳,A,,,1823,133
29653,33848,好友,與Y遊,M,人名權威資料（中央研究院歷史語言研究所）,105,,277
29876,30080,好友,友,M,人名權威資料（中央研究院歷史語言研究所）,143,,9
29876,33556,好友,友,M,人名權威資料（中央研究院歷史語言研究所）,1854,,9
29876,54115,好友,友,M,,,,9
29876,65933,好友,友,M,,,,9
29876,30080,交往,同年友,M,紀曉嵐年譜,217,,10
29876,33556,交往,同年友,M,,,,10
29876,7343,唱和,為Y所著書作跋,A,宋人傳記資料索引(電子版),10502,,46
29876,33848,好友,與Y遊,M,人名權威資料（中央研究院歷史語言研究所）,105,,277
